Code,Description
1,Tuberculosis
2,Syphilis
3,HIV
5,Malignant neoplasm of stomach
6,"Malignant neoplasms of colon, rectum and anus"
7,Malignant neoplasm of pancreas
8,"Malignant neoplasms of trachea, bronchus and lung"
9,Malignant neoplasm of breast
10,"Malignant neoplasms of cervix uteri, corpus uteri and ovary"
11,Malignant neoplasm of prostate
12,Malignant neoplasms of urinary trac
13,Non-Hodgkin's lymphoma
14,Leukemia
15,Other malignant neoplasms
16,Diabetes mellitus
17,Alzheimer's disease
20,Hypertensive heart disease with or without renal disease
21,Ischemic heart diseases
22,Other diseases of heart
23,Essential (primary) hypertension and hypertensive renal disease
24,Cerebrovascular diseases
25,Atherosclerosis
26,Other diseases of circulatory system
27,Influenza and pneumonia
28,Chronic lower respiratory diseases
29,Peptic ulcer
30,Chronic liver disease and cirrhosis
31,"Nephritis, nephrotic syndrome, and nephrosis"
32,Certain conditions originating in the perinatal period
33,"Congenital malformations, deformations and chromosomal abnormalities"
34,Sudden infant death syndrome
35,"Symptoms, signs and abnormal clinical and laboratory findings, notelsewhere classified"
36,All other diseases
37,Motor vehicle accidents
38,All other and unspecified accidents and adverse effects
39,Intentional self-harm (suicide)
40,Assault (homicide)
41,All other external causes
